rank,player_name,cap_percent
338,"Austin Ekeler",0.01
339,"Kyle Juszczyk",0.01
340,"Tommy Tremble",0.01
341,"Dameon Pierce",0.01
342,"Devontez Walker",0.01
343,"Ben Sinnott",0.01
344,"Jam Miller",0.01
345,"Zavion Thomas",0.01
346,"Phil Mafah",0.01
347,"Rasheen Ali",0.01
348,"Jordan Whittington",0.01
349,"Elijah Moore",0.01
350,"Ashton Dulin",0.01
351,"John Bates",0.01
352,"Roschon Johnson",0.01
353,"Dyami Brown",0.01
354,"Joe Flacco",0.01
355,"Terrell Jennings",0.01
356,"Deion Burks",0.01
357,"Daniel Bellinger",0.01
358,"Charlie Kolar",0.01
359,"Mitchell Evans",0.01
360,"Sione Vaki",0.01
361,"Greg Dortch",0.01
362,"Zach Ertz",0.01
363,"Jeremy McNichols",0.01
364,"Darren Waller",0.01
365,"Austin Hooper",0.01
366,"CJ Daniels",0.01
367,"Dylan Laube",0.01
368,"Marcus Mariota",0.01
369,"Tommy Myers",0.01
370,"Marlin Klein",0.01
371,"Cade Klubnik",0.01
372,"Zavier Scott",0.01
373,"Joe Milton III",0.01
374,"Jonnu Smith",0.01
375,"Malik Benson",0.01
376,"Damien Martinez",0.01
377,"Mitch Tinsley",0.01
378,"Frank Gore Jr.",0.01
379,"Demarcus Robinson",0.01
380,"Robert Henry Jr.",0.01
381,"Jaret Patterson",0.01
382,"Jameis Winston",0.01
383,"Hunter Luepke",0.01
384,"Will Kacmarek",0.01
385,"Tyler Lockett",0.01
386,"Khalil Herbert",0.01
387,"Jahdae Walker",0.01
388,"Roman Wilson",0.01
389,"Antonio Gibson",0.01
390,"Myles Montgomery",0.01
391,"Marquez Valdes-Scantling",0.01
392,"Cash Jones",0.01
393,"Ty Chandler",0.01
394,"Tyler Goodson",0.01
395,"Roman Hemby",0.01
396,"Donovan Edwards",0.01
397,"Colbie Young",0.01
398,"Taysom Hill",0.01
399,"Jacob Saylors",0.01
400,"Xavier Smith",0.01
401,"Adam Trautman",0.01
402,"Jakobie Keeney-James",0.01
403,"Scotty Miller",0.01
404,"Kendric Pryor",0.01
405,"Mo Alie-Cox",0.01
406,"Josh Oliver",0.01
407,"Kevin Austin Jr.",0.01
408,"AJ Dillon",0.01
409,"Odell Beckham Jr.",0.01
410,"Jake Bobo",0.01
411,"Tim Patrick",0.01
412,"Jaydn Ott",0.01
413,"Miles Sanders",0.01
414,"Elijah Tau-Tolliver",0.01
415,"Jeshaun Jones",0.01
416,"Jackson Hawes",0.01
417,"Ameer Abdullah",0.01
418,"Jacardia Wright",0.01
419,"Xavier Restrepo",0.01
420,"Dean Connors",0.01
421,"Luke Schoonmaker",0.01
422,"Tai Felton",0.01
423,"British Brooks",0.01
424,"Theo Wease Jr.",0.01
425,"Riley Leonard",0.01
426,"Elijah Mitchell",0.01
,"David Sills",0
,"Kerrith Whyte",0
,"Malik Cunningham",0
,"Jonathan Mingo",0
,"Pat Bryant",0
,"Ollie Gordon",0
,"Corey Kiner",0
,"Levi Wentz",0
,"Michael Briscoe",0
,"Jacob De Jesus",0
,"Omari Evans",0
,"Keelan Marion",0
